Na krajnici smí řidič motorového vozidla vjet:|C|Jen pro účely stání.|Kdykoliv to uzná za vhodné, s výjimkou míst označených výstražnou dopravní značkou "Nebezpečná krajnice".|Jen při zastavení a stání nebo jestliže je to nutné při objíždění, vyhýbání, odbočování nebo otáčení, přitom musí dbát zvýšené opatrnosti.
Mimo obec se na pozemní komunikaci o dvou nebo více jízdních pruzích vyznačených na vozovce v jednom směru jízdy jezdí:|A|V pravém jízdním pruhu. V ostatních jízdních pruzích se smí jet, jestliže je to nutné k objíždění, předjíždění, otáčení nebo odbočování.|V kterémkoliv jízdním pruhu bez ohledu na jízdní úkon.|Zpravidla v levém jízdním pruhu.
Zajíždí-li řidič za účelem zastavení nebo stání k okraji pozemní komunikace nebo k chodníku:|C|Nemusí dávat znamení o změně směru jízdy.|Nemusí dávat znamení o změně směru jízdy, pokud neohrozí nebo neomezí vozidla jedoucí za ním.|Musí dávat znamení o změně směru jízdy.
V  obci  na pozemní  komunikaci  o  dvou  nebo více jízdních pruzích vyznačených    na vozovce v jednom směru jízdy smí řidič motorového vozidla užívat k jízdě:|B|Jen pravého a středního jízdního pruhu; nejkrajnější levý jízdní pruh se užívá pouze pro odbočování.|Kteréhokoliv jízdního pruhu; přitom se nepovažuje za předjíždění, jedou-li vozidla v jednom z jízdních pruhů rychleji než vozidla v jiném jízdním pruhu.|Jen pravého jízdního pruhu.
Nastupovat do vozidla nebo vystupovat z něj se smí jen tehdy:|C|Zastaví-li vozidlo v obci na místě k tomu určeném, například na parkovišti.|Není-li tím ohrožena bezpečnost nastupujících nebo vystupujících osob bez ohledu na ostatní účastníky provozu na pozemních komunikacích.|Není-li tím ohrožena bezpečnost nastupujících nebo vystupujících osob ani jiných účastníků provozu na pozemních komunikacích.
Je-li dávána výstraha přerušovaným zvukem houkačky nebo zvonku přejezdového zabezpečovacího zařízení, znamená to, že řidič:|C|Může přejezd bezpečně přejet.|Musí při přejíždění přejezdu dbát zvýšené opatrnosti.|Nesmí vjíždět na železniční přejezd.
Vozidla se před železničním přejezdem řadí:|B|Náhodně.|Za sebou v pořadí, ve kterém přijela.|Tak, aby všichni řidiči měli náležitý výhled na železniční přejezd.
Při přejíždění železničního přejezdu nesmí řidič:|B|Náhle snížit rychlost jízdy.|Zbytečně prodlužovat dobu jeho přejíždění.|Dávat zvuková výstražná znamení.
Je-li dávána výstraha dvěma červenými střídavě přerušovanými světly signálu přejezdového zabezpečovacího zařízení, znamená to, že řidič:|A|Nesmí vjíždět na železniční přejezd.|Smí vjíždět na železniční přejezd.|Musí zapnout výstražné světelné zařízení.
Svítí-li přerušované bílé světlo signálu přejezdového zabezpečovacího zařízení, smí 50 m před železničním přejezdem a při jeho přejíždění jet řidič rychlostí:|C|Nejvýše 30 km.h-1.|Nejvýše 40 km.h-1.|Nejvýše 50 km.h-1.
Přejíždět z jednoho jízdního pruhu do druhého smí řidič jen tehdy:|C|Má-li řádně očištěná zpětná zrcátka.|Když v jízdním pruhu, do kterého přejíždí, nejede žádné motorové vozidlo.|Neohrozí-li a neomezí-li řidiče jedoucího v jízdním pruhu, do kterého přejíždí; přitom musí dávat znamení o změně směru jízdy.
Podél nástupního nebo ochranného ostrůvku se jezdí:|A|Vpravo; vlevo se smí jet tehdy, brání-li jízdě vpravo překážka nebo jestliže je to bezpečnější s ohledem na rozměry vozidla nebo nákladu.|Výlučně vpravo; vlevo za žádných okolností.|Zásadně vlevo.
Na tramvajový pás v úrovni vozovky se smí v podélném směru vjet:|A|Jen při objíždění, předjíždění, odbočování, otáčení, vjíždění na pozemní komunikaci nebo vyžadují-li to zvláštní okolnosti.|Jen je-li to nutné při couvání.|Jen při odbočování na místo ležící mimo silnici.
Řidič, který při objíždění vozidla, jež zastavilo nebo stojí, nebo při objíždění překážky provozu na pozemních komunikacích anebo chodce, vybočuje ze směru své jízdy:|C|Nemusí dávat znamení o změně směru jízdy.|Nesmí ohrozit pouze řidiče jedoucí za ním.|Nesmí ohrozit ani omezit protijedoucí řidiče a ohrozit ostatní účastníky provozu na pozemních komunikacích.
Řidič nesmí předjíždět:|A|Nemá-li před sebe rozhled na takovou vzdálenost, která je nutná k bezpečnému předjetí.|Pokud před tím nedal zvukové výstražné znamení.|Pokud nemá před sebe rozhled na vzdálenost 300 m.
Řidič smí jet jen takovou rychlostí:|C|Aby byl schopen zastavit vozidlo, když mu nedá jiný řidič přednost v jízdě.|Aby byl schopen zastavit vozidlo na vzdálenost 100 m.|Aby byl schopen zastavit vozidlo na vzdálenost, na kterou má rozhled.
Řidiči protijedoucích vozidel se vyhýbají:|A|Vpravo, včas a v dostatečné míře.|Zásadně vlevo.|Tak, aby zachovali boční odstup alespoň 2 m.
Při odbočování na křižovatce nebo na místo ležící mimo pozemní komunikaci:|A|Musí řidič dávat znamení o změně směru jízdy.|Nemusí řidič dávat znamení o změně směru jízdy.|Dává řidič znamení o změně směru jízdy jen při odbočování vlevo.
Při odbočování řidič nesmí:|B|Omezit řidiče jedoucí za ním.|Ohrozit řidiče jedoucí za ním a musí dbát zvýšené opatrnosti.|Dávat světelná výstražná znamení.
Před odbočováním vlevo se musí řidič zařadit:|B|Do levého jízdního pruhu ve vzdálenosti 500 m před místem, kde hodlá odbočovat.|Co nejdále vlevo v části vozovky určené pro jeho směr jízdy s ohledem na rozměry vozidla nebo nákladu a šířku vozovky.|Vždy do středu vozovky bez ohledu na protijedoucí vozidla.
Řidič musí dát přednost v jízdě vozidlům jedoucím po pozemní komunikaci:|B|Pouze, když vjíždí z místa ležícího mimo silnici na silnici; při vjíždění z polní nebo lesní cesty, ze stezky pro cyklisty anebo z obytné nebo pěší zóny na jinou silnici platí ustanovení o jízdě křižovatkou.|Při vjíždění z místa ležícího mimo pozemní komunikaci na pozemní komunikaci a při vjíždění z účelové pozemní komunikace, ze stezky pro cyklisty anebo z obytné nebo pěší zóny na jinou pozemní komunikaci.|Při vjíždění z polní nebo lesní cesty na pozemní komunikaci, jen když vozidla jedoucí po pozemní komunikaci přijíždějí zleva.
Vozidla vjíždějící na pozemní komunikaci:|A|Musí být předem očištěna, aby neznečišťovala pozemní komunikaci.|Nemusí být předem očištěna, pokud pozemní komunikaci pouze přejíždějí.|Musí předem dávat světelné výstražné znamení.
Při couvání řidič nesmí:|B|Kouřit.|Ohrozit ostatní účastníky provozu na pozemní komunikaci.|Omezit ostatní účastníky silničního provozu.
Řidič, který se hodlá vzdálit od vozidla tak, že nemůže v případě potřeby okamžitě zasáhnout:|C|Musí vypnout motor a zapalování a použít parkovací brzdu nebo zařadit rychlostní stupeň.|Musí dát výstražné znamení zapnutím výstražného světelného zařízení, vypnout motor a zapalování.|Musí učinit taková opatření, aby vozidlo nemohlo ohrozit bezpečnost provozu na pozemních komunikacích a nemohla je neoprávněně užít jiná osoba.
Dojde-li při jízdě vozidla v tunelu k poruše vozidla, pro kterou se toto vozidlo stalo nepojízdným:|A|Je řidič porouchaného vozidla podle okolností oprávněn zastavovat jiná vozidla.|Je řidič porouchaného vozidla povinen neprodleně odstranit vozidlo z tunelu, například jeho odtlačením.|Je řidič porouchaného vozidla povinen neprodleně opravit závadu, která mu brání v alespoň nouzovém dojetí.
Dojde-li při jízdě vozidla v tunelu k poruše vozidla, pro kterou se toto vozidlo stalo nepojízdným:|A|Řidič ani přepravovaná osoba nesmí kouřit ani zacházet s otevřeným ohněm. Nezávislé topení nepojízdného vozidla musí v tunelu být vypnuto.|Řidič ani přepravovaná osoba nesmí kouřit ani zacházet s otevřeným ohněm. Nezávislé topení nepojízdného vozidla může v tunelu zůstat zapnuto.|Řidič ani přepravovaná osoba nesmí zacházet s otevřeným ohněm, kouřit mohou pouze na místech k tomu určených. Nezávislé topení nepojízdného vozidla může v tunelu zůstat zapnuto.
Při jízdě v tunelu došlo k poruše vozidla, pro kterou se toto vozidlo stalo nepojízdným. Řidič porouchaného vozidla je:|A|Oprávněn podle okolností zastavovat jiná vozidla.|Povinen zapnout výstražné světelné zařízení a neprodleně opustit tunel.|Povinen neprodleně odstranit závadu, která mu brání v další jízdě, nebo nepojízdné vozidlo z tunelu odstranit.
V tunelu došlo k poruše motorového vozidla, které se stalo nepojízdným. Jako řidič takového vozidla nesmíte:|A|Kouřit ani zacházet s otevřeným ohněm.|Kouřit; zacházet s otevřeným ohněm v tunelu smíte, pokud je to nezbytné k odstranění závady vozidla.|Zacházet s otevřeným ohněm; kouřit v tunelu smíte jen na místech označených jako únikové východy.
Obytná zóna je:|C|Každé sídliště s nejméně 500 obyvatel, jehož začátek je označen dopravní značkou "Sídliště" a konec je označen dopravní značkou "Konec sídliště".|Obec s minimálně 50 trvale žijícími obyvateli, jejíž začátek je označen dopravní značkou "Obec" a konec je označen dopravní značkou "Konec obce".|Zastavěná oblast, jejíž začátek je označen dopravní značkou "Obytná zóna" a konec je označen dopravní značkou "Konec obytné zóny".
Přednost při čerpání pohonných hmot mají:|A|Řidiči vozidel s právem přednostní jízdy.|Řidiči vozidel hromadné dopravy osob (např. autobusů).|Řidiči vozidel přepravujících zboží, které podléhá rychlé zkáze.
Při vlečení motorového vozidla se smí jet rychlostí:|B|Nejvýše 90 km/h.|Nejvýše 60 km/h.|Nejvýše 70 km/h.
Ten, kdo způsobil překážku provozu na pozemních komunikacích:|C|Oznámí to neprodleně vlastníkovi pozemní komunikace, který překážku na vlastní náklady odstraní.|Oznámí to neprodleně policii, která zajistí její označení.|Musí ji neprodleně odstranit; neučiní-li tak, odstraní ji na jeho náklady vlastník pozemní komunikace.
Při zastavení vozidla před železničním přejezdem:|C|Musí řidič motorového vozidla zařadit rychlostní stupeň nebo použít parkovací brzdu.|Musí řidič motorového vozidla okamžitě vypnout motor.|Nesmí řidič užít ani potkávací světla, pokud by jimi mohl oslnit řidiče v protisměru.
Svítí-li zvláštní výstražné světlo modré nebo modré a červené barvy na stojícím vozidle, musí řidiči ostatních vozidel podle okolností:|A|Snížit rychlost jízdy a popřípadě i zastavit vozidlo.|Opatrně otočit vozidlo a jet jinou trasou.|Urychleně opustit místo, kde toto vozidlo stojí.
Při čerpání pohonných hmot mají přednost:|A|Řidiči vozidel s právem přednostní jízdy; přitom nepoužívají zvláštních výstražných znamení.|Řidiči vozidel s právem přednostní jízdy; k upozornění ostatních řidičů však musejí použít zvláštních výstražných znamení.|Řidiči vozidel hromadné dopravy osob, např. autobusů, a řidiči vozidel přepravujících zboží, které podléhá rychlé zkáze.
Při čerpání pohonných hmot mají přednost:|A|Řidiči vozidel s právem přednostní jízdy; přitom nepoužívají zvláštních výstražných znamení.|Řidiči vozidel přepravujících osobu těžce postiženou nebo těžce pohybově postiženou.|Řidiči autobusů a řidiči vozidel přepravujících zboží, které podléhá rychlé zkáze.
Překážka provozu na pozemních komunikacích musí být označena:|C|Pouze pokud se nachází na dálnici, silnici pro motorová vozidla nebo silnici I. třídy.|Pouze pokud se nachází v nepřehledném úseku pozemní komunikace, např. v zatáčce nebo před vrcholem stoupání pozemní komunikace.|Tak, aby ji jiný účastník provozu na pozemních komunikacích mohl včas a z dostatečné vzdálenosti zpozorovat.
Dojde-li při dopravní nehodě k poškození pozemní komunikace, jsou účastníci dopravní nehody povinni:|C|Neprodleně ohlásit tuto událost vlastníkovi pozemní komunikace.|Neprodleně ohlásit tuto událost příslušnému obecnímu úřadu obce s rozšířenou působností.|Neprodleně ohlásit tuto událost Policii České republiky.
Dojde-li při dopravní nehodě k poškození životního prostředí, jsou účastníci dopravní nehody povinni:|C|Neprodleně ohlásit tuto událost vlastníkům všech dotčených pozemků.|Neprodleně ohlásit tuto událost Inspekci životního prostředí.|Neprodleně ohlásit tuto událost Policii České republiky.
Při řízení provozu na křižovatce znamená pro řidiče signál se současně svítícím červeným a žlutým světlem "Pozor!":|C|Upozornění, že řízení provozu světelnými signály bude ukončeno.|Povinnost zastavit vozidlo před světelným signalizačním zařízením, neboť bude následovat signál "Stůj!".|Povinnost připravit se k jízdě.
